company_names,about,jobs,location,salaries,reviews,interviews,ratings
Bosch Global Software Technologies,IT Services & Consulting,16,Bengaluru,40.4k,5.6k,392,3.7
Ashok Leyland,Automobile,1,Chennai,19k,5.5k,325,4.0
Swiggy,Internet,266,Bengaluru,23.3k,5.5k,572,3.7
Citicorp,Financial Services,--,Pune,53.1k,5.4k,629,3.7
Hero MotoCorp,Automobile,1,Gurugram,16k,5.4k,409,4.1
CGI Group,IT Services & Consulting,590,Bengaluru,46.2k,5.3k,560,4.0
Cyient,IT Services & Consulting,78,Hyderabad,27.8k,5.3k,334,3.6
SBI Cards & Payment Services,Financial Services,70,Gurugram,16.4k,5.2k,306,3.6
BNY,Financial Services,27,Pune,31.3k,5.2k,400,3.6
Kalpataru Projects International,Engineering & Construction,4,Mumbai,13.8k,5.2k,332,4.2
IQVIA,Clinical Research,39,Bengaluru,31.1k,5.1k,554,3.7
NTT DATA,IT Services & Consulting,96,Bengaluru,36.4k,5.1k,747,3.8
JustDial,Internet,93,Noida,15.2k,5.1k,393,3.5
Nagarjuna Construction Company,Engineering & Construction,19,Hyderabad,12.3k,5.1k,440,4.0
SBI Life Insurance Company,Insurance,4,Mumbai,11.7k,5.1k,308,3.7
Schneider Electric,Industrial Automation,171,Bengaluru,24.9k,5.1k,455,4.1
CBRE,Real Estate,202,Hyderabad,18.8k,5k,349,4.1
TVS Motor,Automobile,5,Hosur,16.1k,5k,401,3.9
Persistent Systems,IT Services & Consulting,314,Pune,45.4k,5k,710,3.6
State Bank of India,Banking,10,Mumbai,11.7k,4.9k,310,3.8
vivo,Consumer Electronics & Appliances,5,Noida,12.9k,4.9k,239,4.1
Atos,IT Services & Consulting,106,Pune,34.1k,4.9k,409,3.8
KEC International,Engineering & Construction,8,Mumbai,13.4k,4.8k,421,4.0
Ecom Express,Logistics,--,Gurugram,9.6k,4.8k,264,4.0
Amdocs,Software Product,15,Pune,37.3k,4.8k,561,3.6
JBM Group,Auto Components,65,Gurugram,13.9k,4.8k,349,3.9
ITC Infotech,IT Services & Consulting,76,Bengaluru,29.7k,4.8k,416,3.8
Eviden,IT Services & Consulting,1,Pune,27.7k,4.8k,316,3.6
Varun Beverages,Beverage,42,New Delhi,12.1k,4.8k,349,4.0
Nagarro,IT Services & Consulting,353,Gurugram,33.1k,4.7k,836,3.9
Bosch,Auto Components,--,Bengaluru,21k,4.6k,383,4.1
Randstad,Recruitment,6,Hyderabad,16.7k,4.6k,330,3.7
EY Global Delivery Services ( EY GDS),IT Services & Consulting,9,Bengaluru,50.4k,4.6k,888,3.5
Utkarsh Small Finance Bank,Banking,21,Varanasi,11.4k,4.6k,306,3.6
Hewlett Packard Enterprise,IT Services & Consulting,305,Bengaluru,27.3k,4.6k,267,4.1
Home Credit Finance,NBFC,101,Gurugram,9.4k,4.5k,148,4.0
Aditya Birla Fashion and Retail,Fashion & Textile,45,Bengaluru,13.2k,4.5k,268,4.0
