company_names,about,jobs,location,salaries,reviews,interviews,ratings
Hero Vired,Education & Training,--,New Delhi,521,275,15,4.5
Fujitec,Industrial Machinery,1,Chennai,1.2k,275,11,3.9
SMS Limited,Engineering & Construction,47,Nagpur,2.4k,275,14,4.1
Joyson Safety Systems,Auto Components,1,Chennai,1.2k,275,19,4.0
Powerica,Industrial Machinery,4,Mumbai,1.1k,275,14,3.7
RM Education Solutions,IT Services & Consulting,18,Thiruvananthapuram,1.8k,275,29,3.3
Vayam Info Solutions,Recruitment,--,New Delhi,862,275,16,4.0
Joyson Safety Systems,Auto Components,1,Chennai,1.2k,275,19,4.0
Fujitec,Industrial Machinery,1,Chennai,1.2k,275,11,3.9
SMS Limited,Engineering & Construction,47,Nagpur,2.4k,275,14,4.1
Sir Ganga Ram Hospital,Healthcare,--,New Delhi,838,275,9,4.1
Publicis Resources,Marketing & Advertising,8,Gurugram,1.6k,276,17,3.5
Big C,Retail,10,Hyderabad,673,275,17,3.8
Roche Diagnostics,Pharma,--,Mumbai,1.4k,274,32,3.8
Government of Maharashtra,Government,--,Mumbai,1.6k,274,21,3.8
K R Mangalam University,Education & Training,10,Gurugram,440,274,57,4.4
MM Forgings,Iron & Steel,1,Chennai,1.4k,274,17,3.4
Muthoot Pappachan Group,Financial Services,--,Thiruvananthapuram,902,274,14,4.0
Phoenix Contact,Electronics Manufacturing,9,Faridabad,1.3k,274,27,4.0
Zee Media Corporation,Broadcasting,--,Noida,1.4k,274,14,3.4
American Express Global Business Travel,Travel & Tourism,45,Gurugram,1.8k,274,16,4.2
HiyaMee Private Limited,Recruitment,--,Bengaluru,1.8k,274,15,2.9
Liugong India,Engineering & Construction,1,Indore,1.3k,274,20,3.4
Classplus,Software Product,2,Noida,1.6k,274,32,3.8
Policyboss.com,Insurance,9,Mumbai,1k,274,12,3.3
BARC,Defence & Aerospace,--,Mumbai,973,273,33,4.4
Indian Institute of Science,Education & Training,3,Bengaluru,1.3k,273,21,4.1
Rochem Separation Systems,Industrial Machinery,9,Mumbai,1.2k,273,18,3.6
ARCIS e Services,BPO,3,Gurugram,703,274,7,3.6
Shaily Engineering Plastics Ltd,Industrial Machinery,4,Vadodara,1.2k,273,18,4.1
Netafim Irrigation India,Industrial Machinery,--,Vadodara,908,273,14,4.1
Bajaj Hindusthan,Food Processing,--,Lucknow,856,273,13,4.2
Nippon Express,Logistics,--,Bengaluru,1.2k,273,11,3.9
Petrocon Engineers & Consultants,Engineering & Construction,5,Hyderabad,919,273,25,3.7
Ambey Mining,Metals & Mining,15,Durgapur,909,274,37,3.4
Gatewaypark Business,Bengaluru +6 other locations,--,Bengaluru,3,259,19,4.6
PaySquare Consultancy,Recruitment,8,Pune,1.7k,273,14,3.8
Superhouse,Leather,--,Kanpur,1.1k,273,22,3.3
Venkateshwar Hospital,Healthcare,20,New Delhi,1k,273,17,3.4
Puzzolana Machinery Fabricators,Industrial Machinery,--,Hyderabad,889,272,24,4.0
Urbanrise,Real Estate,--,Hyderabad,811,272,91,3.8
Forbes & Company,Engineering & Construction,14,Chhatrapati Sambhajinagar,1.2k,272,17,3.7
Calpion Software Technologies,IT Services & Consulting,105,Bengaluru,1.6k,272,22,3.5
Mitsuba Sical,Auto Components,--,Gurugram,897,272,19,3.9
Chain-Sys,IT Services & Consulting,3,Chennai,2.3k,272,23,3.1
HYUNDAI TRANSYS INDIA,Auto Components,--,Anantapur,1.4k,272,20,3.8
EVRY India,IT Services & Consulting,1,Bengaluru,1.4k,272,19,4.5
Noida Power Company,Power,--,Greater Noida,1.2k,272,26,4.3
Vanderlande Industries,Industrial Automation,39,Pune,1.7k,272,25,4.0
Nalco water,Waste Management,28,Pune,1k,272,16,3.7
Reliable Autotech,Auto Components,--,Pune,1.1k,272,9,4.1
Meenakshi Polymers,Auto Components,--,Gurugram,998,272,17,3.6
Dover India,Industrial Machinery,9,Bengaluru,2.1k,272,36,4.0
Massmutual Global Business Services,IT Services & Consulting,41,Hyderabad,1.6k,273,9,3.9
Advance India Projects,Real Estate,--,Gurugram,957,272,42,4.2
Adonmo,Marketing & Advertising,1,Hyderabad,553,271,28,4.4
Shriram Group,Financial Services,--,Chennai,1.4k,271,11,4.0
Tatva Chintan Pharma Chem,Pharma,7,Ankleshwar,1.1k,271,20,3.6
Velnik India,Beauty & Personal Care,1,Indore,1k,271,26,3.2
EGIS,Power,--,Bengaluru,965,271,13,4.0
Niine,Beauty & Personal Care,4,Gorakhpur,786,271,15,3.6
Qualys,IT Services & Consulting,2,Pune,2.4k,271,47,3.7
Smart Chip,Electronics Manufacturing,--,Noida,722,271,14,3.9
Confederation of Indian Industry,Law Enforcement & Security,1,New Delhi,1.4k,272,22,3.3
Technique Control Facility Management,Facility Management Services,4,Bengaluru,990,270,17,3.7
Weblink In,IT Services & Consulting,13,New Delhi,966,270,25,3.9
Hindustan Latex Family Planning Promotion Trust,Healthcare,24,Noida,618,270,10,3.5
P&O Cruises,Travel & Tourism,--,Mumbai,352,270,11,3.7
Indian Molasses Company,Ports & Shipping,22,Chennai,1.4k,271,24,3.6
Interface Microsystems,Auto Components,3,Gurugram,1.3k,270,30,3.7
Sundaram Business Services,BPO,--,Chennai,1.1k,270,13,3.7
Outpace Consulting Services,Lucknow +16 other locations,--,Lucknow,127,270,70,4.6
Healthium Medtech,Medical Equipment,21,Bengaluru,1.2k,270,21,3.4
Teachmint,EdTech,32,Bengaluru,1.2k,270,50,3.9
Lipi Data Systems,Printing & Publishing,--,Udaipur,867,270,8,3.8
IDP IELTS,Education & Training,--,Chennai,1.5k,270,13,3.3
East India Udyog,Electrical Equipment,5,Noida,861,270,17,3.9
Vcs Quality Services,Oil & Gas,--,New Delhi,963,269,19,3.9
S G Encon,Engineering & Construction,--,New Delhi,629,269,19,3.6
Suresh Surana & Associates,Accounting & Auditing,11,Mumbai,1k,269,14,3.2
Seven Hills Hospital,Healthcare,5,Mumbai,815,269,13,3.7
InKnowTech,IT Services & Consulting,--,Bengaluru,1.4k,269,23,3.1
ICFAI Business School,Education & Training,4,Hyderabad,966,269,29,3.5
StudyIn,EdTech,11,New Delhi,688,269,40,4.0
RACL Geartech,Auto Components,--,Noida,832,269,20,4.2
Don Bosco School,Education & Training,1,Mumbai,582,269,18,3.6
Kanwar Enterprises,Engineering & Construction,15,Noida,970,269,18,3.5
Fashion TV,Retail,25,Mumbai,459,269,27,3.1
Cargo Service Center India,Logistics,2,New Delhi,796,269,14,3.7
Bhilai Engineering Corporation,Industrial Machinery,3,Bhilai Nagar,1.1k,270,11,3.6
Freelancer.com,Bengaluru +36 other locations,14,Bengaluru,40.9k,269,76,4.1
Hartek Group,Engineering & Construction,43,Sahibzada Ajit Singh Nagar,728,269,40,4.0
Al-Yamama Group,Engineering & Construction,--,Dammam,472,269,16,3.5
Sonalika Group of Companies,Automobile,9,Hoshiarpur,1.3k,269,22,3.7
Infineon Technologies,Semiconductors,156,Bengaluru,2.6k,269,46,3.6
Yakult Danone India,Food Processing,12,New Delhi,766,269,13,3.7
Eastern Software Solutions Pvt. Ltd,IT Services & Consulting,--,Noida,1k,268,17,3.8
SHL,Software Product,7,Gurugram,2k,268,17,3.4
TimesPro,Education & Training,7,Mumbai,1.4k,268,21,3.3
Sgs Tekniks Manufacturing,Electronics Manufacturing,2,Gurugram,1k,268,18,3.9
Bajaj Finserv Health,Internet,6,Pune,1.6k,268,22,3.5
Arrow,Fashion & Textile,1,Bengaluru,213,268,14,4.4
Ocrolus East,FinTech,7,Gurugram,872,268,24,3.4
Hero Electric,Automobile,--,Ludhiana,1.1k,268,18,4.0
Grauer & Weil (i),Chemicals,--,Mumbai,1.2k,268,18,3.3
Nalco,Metals & Mining,--,Bhubaneswar,783,268,27,4.2
Arrow,Fashion & Textile,1,Bengaluru,213,268,14,4.4
Bombardier Transportation,Urban Transport,--,Vadodara,1k,267,12,4.4
Alchem International,Pharma,--,Faridabad,975,267,17,3.8
ICICI Foundation for Inclusive Growth,Non-Profit,--,Mumbai,679,267,18,3.7
Schneider Electric Infrastructure,Electrical Equipment,--,Vadodara,1.3k,267,7,4.2
Central Institute of Mining and Fuel Research,Education & Training,--,Dhanbad,664,267,6,3.9
Bonn Group,Food Processing,--,Ludhiana,980,267,14,3.9
Faber India,Consumer Electronics & Appliances,--,Pune,946,267,16,4.3
MITA,Industrial Machinery,--,Ghaziabad,900,267,23,3.8
Cholamandalam Securities,Financial Services,--,Chennai,720,267,11,3.5
Apex CoVantage,IT Services & Consulting,10,Hyderabad,1.2k,267,12,3.0
Star Hospitals,Healthcare,--,Hyderabad,860,267,9,3.9
Wishfin,Financial Services,7,Noida,1.1k,267,11,3.4
Century Pulp & Paper,Pulp & Paper,--,Lalkuan,1.1k,267,25,3.9
FICO,Software Product,30,Bengaluru,2.2k,267,45,3.4
Aqualite India,Fashion & Textile,--,New Delhi,900,267,19,3.7
Eastern Condiments,FMCG,--,Kochi,766,266,15,3.8
Indo Count Industries,Fashion & Textile,5,Mumbai,1.3k,266,12,3.6
Sunteck Realty,Real Estate,8,Mumbai,1.5k,266,23,3.3
MindCraft Software,IT Services & Consulting,1,Mumbai,1.8k,266,30,3.6
Butterfly Gandhimathi Appliances,Consumer Electronics & Appliances,--,Chennai,1k,266,9,4.0
Shriram Properties,Real Estate,3,Bengaluru,1.3k,266,26,4.0
Sv Creditline,NBFC,--,Gurugram,569,266,6,3.8
Kosamattam Finance,NBFC,3,Kottayam,808,273,12,3.8
Walking Tree,IT Services & Consulting,32,Hyderabad,1.4k,267,30,3.3
Terex,Industrial Machinery,2,Bengaluru,1.5k,266,10,3.9
Creamy foods,Food Processing,9,Bulandshahr,891,266,25,3.8
Adani Realty,Real Estate,--,Mumbai,1.5k,266,27,3.6
Boston Scientific,Healthcare,11,Gurugram,1.8k,266,23,3.9
SasMos HET Technologies,Electrical Equipment,3,Bengaluru,1.4k,266,17,3.7
Rakon,Electronics Manufacturing,--,Bengaluru,1.1k,265,14,3.7
Alivira Animal Health,Pharma,--,Visakhapatnam,989,265,19,4.1
Hetero Biopharma,Pharma,--,Hyderabad,1k,265,17,3.8
Siddha Group,Real Estate,33,Kolkata,907,265,21,3.8
Reliance Fresh,Retail,--,New Delhi,555,265,20,4.4
Bacardi,Beverage,--,Gurugram,978,264,18,3.7
Synergy Maritime,Ports & Shipping,40,Chennai,1.3k,265,24,4.0
Goldstone Cements,Building Material,1,Guwahati,1.1k,265,22,3.3
Sumadhura Infracon,Real Estate,24,Bengaluru,1.2k,265,21,4.0
Dbs Mintek,Financial Services,7,Pune,1.4k,265,21,3.4
Shriram Value Services,IT Services & Consulting,--,Chennai,543,264,3,3.9
BuildAHome,Engineering & Construction,2,Bengaluru,342,264,82,4.4
Centific,IT Services & Consulting,20,Hyderabad,1.5k,264,24,3.4
Cholamandalam MS Risk Services,Management Consulting,--,Chennai,806,264,23,3.7
Isc Projects,Engineering & Construction,--,Pune,777,265,18,3.9
Lafarge,Building Material,--,Mumbai,519,264,10,4.5
Normet,Industrial Machinery,3,Jaipur,1k,264,18,3.8
Himalaya Opticals,Retail,5,Kolkata,540,264,37,4.4
National Institute of Technology,Education & Training,--,Mangaluru,1.3k,264,15,4.3
DigiTech Call System,BPO,--,Noida,782,285,29,2.7
Strada,Financial Services,18,Hyderabad,3.2k,264,22,3.5
MAN Truck & Bus,Automobile,1,Pune,977,264,15,2.6
Ginesys,Software Product,37,Kolkata,694,264,68,3.7
Everest Fleet,Urban Transport,44,Mumbai,988,264,16,3.1
Reliance resQ,Other,--,Mumbai,587,264,13,4.0
Dnata,Aviation,14,Bengaluru,926,264,20,3.1
Kalinga Commercial Corporation,Metals & Mining,1,Bhubaneswar,777,264,28,3.8
Vee Healthtek,BPO,70,Chennai,1.2k,263,10,3.8
KiwiTech,IT Services & Consulting,3,Noida,1.5k,263,32,3.6
Etisalat,Telecom,--,Dubai,1.2k,263,17,3.2
Flipspaces,Architecture & Interior Design,26,Mumbai,911,263,18,4.0
NTF Group,Auto Components,--,Gurugram,1k,263,22,4.0
Supermax Personal Care,Beauty & Personal Care,--,Mumbai,954,263,18,3.6
Naandi Foundation,Non-Profit,2,Hyderabad,589,263,19,3.9
Electronic Arts,Gaming,22,Hyderabad,2.2k,263,30,4.0
Intech Organics,Agro Chemicals,6,Gurugram,1.1k,263,29,3.1
Sentiss Pharma,Pharma,5,Gurugram,1.1k,263,8,3.5
Milky Mist Dairy Food,Food Processing,--,Erode,1.1k,263,26,4.0
The Professional Couriers,Logistics,22,New Delhi,1.1k,263,8,3.4
Shivalaya Construction,Engineering & Construction,3,New Delhi,910,263,11,4.3
Belstar Investment and Finance,Investment Banking / Venture Capital / Private Equity,1,Chennai,741,262,8,4.1
Century Enka,Fashion & Textile,--,Pune,923,262,16,4.0
Brink's,Logistics,--,Mumbai,664,262,10,4.0
Expertise Contracting Company,Industrial Machinery,--,Al Jubail,880,262,24,3.5
Unitech,Real Estate,17,Gurugram,1.1k,262,9,3.6
Profectus Capital,NBFC,--,Mumbai,990,263,17,4.2
OmniActive Health Technologies,Fitness & Wellness,5,Pune,1.2k,262,18,3.4
JGC Corporation,Oil & Gas,4,Chennai,569,262,38,4.4
RentoMojo,Internet,68,Bengaluru,1k,262,12,3.8
99acres,Internet,--,Noida,1.2k,262,37,3.6
Valmet,Oil & Gas,22,Pune,1.3k,262,15,4.1
Trimble,IT Services & Consulting,49,Chennai,2.2k,262,33,3.8
Keka Technologies,Software Product,98,Hyderabad,1.7k,262,47,3.1
IPROCESS BUSINESS SOLUTIONS,EdTech,--,Hyderabad,652,261,14,3.7
Wilo Mather and Platt Pumps,Industrial Machinery,3,Pune,1.2k,261,17,3.9
MEDOPHARM,Pharma,7,Chennai,1.1k,261,15,3.9
Cochin Shipyard,Ports & Shipping,--,Kochi,1.1k,261,12,4.2
UNICEF,Non-Profit,3,New Delhi,715,261,30,4.0
East African (I) Overseas Dehradun,Pharma,4,Dehradun,755,261,69,4.0
Fingent,Software Product,35,Kochi,957,261,27,3.9
ReachLocal Services,Marketing & Advertising,--,Mumbai,1.1k,261,23,3.5
Rosenberger Electronic,Electronics Manufacturing,2,Gurugram,1.2k,261,13,3.9
L&T Realty,Real Estate,--,Mumbai,1.1k,266,14,3.7
GfK MODE,Analytics & KPO,--,Gurugram,1.7k,261,25,3.4
Tata Boeing Aerospace,Defence & Aerospace,19,Hyderabad,1.4k,261,14,3.7
Enpro Industries,Industrial Machinery,12,Pune,1k,261,25,4.3
Hidden Brains InfoTech,IT Services & Consulting,10,Ahmedabad,834,260,20,3.6
Stellar Information Technology,Software Product,23,Gurugram,1.1k,260,24,3.7
Omega Healthcare Solutions,Healthcare,--,Chennai,1.8k,260,38,3.7
Jspiders,Education & Training,--,Bengaluru,599,260,21,3.6
The KCP,Building Material,1,Chennai,967,260,18,4.1
Olam Group,FMCG,28,Chennai,2.8k,260,41,3.8
Liberty Shoes,Fashion & Textile,2,Karnal,914,260,19,3.8
Apna,Recruitment,3,Bengaluru,1.2k,260,40,3.3
Gujarat Gas,Oil & Gas,--,Ahmedabad,910,260,17,3.8
greytHR,Software Product,--,Bengaluru,1.2k,260,38,3.8
Innover Digital,IT Services & Consulting,11,Kolkata,754,261,22,4.2
Manipal University,Education & Training,12,Jaipur,1.2k,260,34,4.1
Nesma & Partners,Engineering & Construction,--,Mumbai,492,260,10,4.2
Enzene Biosciences,Biotechnology,26,Pune,1.3k,260,23,4.0
Avanze Technologies,IT Services & Consulting,1,Bengaluru,1.3k,259,27,3.2
Fresenius Medical Care,Healthcare,--,Gurugram,894,259,16,3.8
Insecticides India,Agro Chemicals,--,Bharuch,1.2k,259,18,4.0
Karnataka Bank,Banking,--,Bengaluru,1.1k,261,17,3.8
Tata Autocomp Gotion Green Energy Solutions,Auto Components,--,Pune,757,259,24,3.7
GrapplTech,IT Services & Consulting,--,Bengaluru,15,259,16,4.8
Roha Dyechem,Food Processing,--,Mumbai,1.1k,259,24,3.4
Diffusion Engineers,Industrial Machinery,2,Nagpur,643,259,16,4.1
Piramal Realty,Real Estate,--,Mumbai,1.2k,259,12,4.1
Mitsubishi Elevators,Industrial Machinery,1,Bengaluru,912,259,8,4.0
Rostfrei Steels,Industrial Machinery,8,New Delhi,841,259,36,3.8
Applus IDIADA,Auto Components,6,Pune,679,259,40,4.1
Annora Pharma,Pharma,--,Hyderabad,1.1k,259,31,3.6
Allengers Medical Systems,Medical Equipment,36,Chandigarh,1.1k,259,16,3.6
Operational Energy Group India,Power,27,Chennai,882,259,14,3.9
L&T Heavy Civil Infrastructure,Engineering & Construction,--,Chennai,980,259,25,4.1
Immacule Life Sciences,Pharma,--,Nalagarh,1k,259,25,3.3
Shakambhari Ispat & Power,Power,--,Kolkata,1k,258,22,3.6
JRG Automotive india,Auto Components,--,Bawal,940,258,15,3.3
SCM Garments,Fashion & Textile,--,Tiruppur,1.1k,258,17,3.6
Accurex Biomedical,Medical Equipment,--,Mumbai,266,258,65,4.4
Shivani Locks,Industrial Machinery,--,Faridabad,1k,258,12,3.7
Government of Andhra Pradesh,Government,--,Hyderabad,1k,258,10,3.8
Centillion Networks,Telecom,6,Hyderabad,1.5k,258,35,3.8
Gujarat State Fertilizers & Chemicals,Agro Chemicals,--,Vadodara,994,258,13,4.3
Brinton Pharmaceuticals,Pharma,--,Pune,557,258,16,4.2
Winjit Technologies,IT Services & Consulting,11,Nashik,2k,258,45,3.6
MBD GROUP,Printing & Publishing,--,New Delhi,954,258,13,3.3
Pinkerton,Law Enforcement & Security,24,Gurugram,915,258,13,3.8
AISECT,Education & Training,--,Bhopal,793,259,9,3.9
Mouser Electronics,Semiconductors,9,Bengaluru,1.8k,258,29,3.5
Pinkerton,Law Enforcement & Security,24,Gurugram,915,258,13,3.8
SUN Mobility,Automobile,3,Bengaluru,1.4k,258,32,3.9
Augmont Goldtech,Financial Services,4,Mumbai,302,257,95,4.7
Birla Tyres,Auto Components,--,Kolkata,642,257,6,3.6
Dhruv Research,Management Consulting,--,Gurugram,275,257,16,3.0
Algonomy,Software Product,13,Bengaluru,1.3k,257,11,3.9
Anthology,EdTech,1,Bengaluru,2.1k,258,26,3.4
PG Electroplast,Consumer Electronics & Appliances,--,Noida,1.1k,257,21,4.1
Sakra World Hospital,Healthcare,29,Bengaluru,872,257,12,4.2
Binary Semantics,IT Services & Consulting,23,Gurugram,1.4k,257,22,3.4
Mamaearth,Beauty & Personal Care,26,Gurugram,1.3k,258,29,3.8
Essel Mining & Industries,Metals & Mining,--,Kolkata,700,257,19,4.3
Amity Software Limited,Insurance,17,Noida,766,257,22,4.0
Altera Digital Health,Software Product,47,Pune,1.7k,280,31,3.0
Toshiba Software India,IT Services & Consulting,14,Bengaluru,1.7k,257,22,3.5
Costa Cruise Lines,Travel & Tourism,--,Mumbai,362,257,15,4.2
Danieli,Industrial Machinery,--,Chennai,1.2k,257,15,3.5
Novonesis,Biotechnology,--,Bengaluru,1.3k,257,15,3.8
Kutch Chemical Industries,Chemicals,--,Gandhidham,1.1k,257,21,3.9
Novonesis,Biotechnology,--,Bengaluru,1.3k,257,15,3.8
Hewlett Packard Globalsoft,Bengaluru +7 other locations,--,Bengaluru,950,256,5,3.5
Snowman Logistics,Logistics,3,Bengaluru,959,256,13,4.2
Maharishi Vidya Mandir,Education & Training,--,Chennai,681,256,20,4.1
Super Auto Forge,Industrial Machinery,--,Chennai,1.3k,256,9,3.9
Uniqlo,Fashion & Textile,2,New Delhi,712,256,26,2.8
Saurav Chemicals,Agro Chemicals,16,Chandigarh,981,256,20,3.6
Yodlee,Software Product,--,Bengaluru,1.6k,256,18,3.8
Sparsh Hospital,Healthcare,62,Bengaluru,1.1k,256,4,3.6
Corsearch,IT Services & Consulting,5,Mumbai,360,256,11,4.0
Tata Strive Skill Development Centre,Education & Training,--,Mumbai,598,256,31,3.9
Sona Koyo Steering Systems,Auto Components,8,Gurugram,364,256,7,4.3
Wavin,Noida +50 other locations,--,Noida,750,256,17,4.1
MRO,Clinical Research,7,Pune,1.5k,256,6,3.0
Foundation To Educate Girls Globally,Education & Training,15,Mumbai,547,256,17,4.0
Rajiv Gandhi Cancer Institute & Research Centre,Healthcare,38,New Delhi,900,256,16,3.9
Shyam Steel Manufacturing,Kolkata +42 other locations,--,Kolkata,864,256,30,3.4
Oswaal Books and Learning Private Limited,Printing & Publishing,41,Agra,367,256,34,4.1
Vesuvius,Industrial Machinery,--,Kolkata,1.1k,257,14,3.8
LCC Projects,Engineering & Construction,9,Ahmedabad,757,278,26,4.2
PMT Machines,Industrial Machinery,2,Pune,1k,256,24,3.0
Oswaal Books and Learning Private Limited,Printing & Publishing,41,Agra,367,256,34,4.1
Terralogic Software Solutions,IT Services & Consulting,84,Bengaluru,1.9k,256,34,3.0
Techolution,IT Services & Consulting,4,Hyderabad,1k,256,57,3.4
Dosti Realty,Real Estate,--,Mumbai,1.1k,256,18,3.7
LCC Projects,Engineering & Construction,9,Ahmedabad,757,278,26,4.2
GS Engineering & Construction,Engineering & Construction,1,Mumbai,689,255,10,3.6
British Airways,Aviation,--,New Delhi,1.2k,255,32,2.9
Paul Merchants,NBFC,10,Chandigarh,578,255,7,3.8
Reliance Cement Company,Building Material,--,Maihar,740,255,13,4.1
Hindware Home Innovation,Consumer Electronics & Appliances,--,Gurugram,694,255,13,3.7
Mobius Knowledge Services,Printing & Publishing,7,Chennai,1.6k,255,9,3.4
Xtancia Technosoft,Software Product,--,Chennai,45,255,40,4.0
Credit Saison India,NBFC,35,Bengaluru,1.3k,255,13,3.7
Birla Open Minds Education Private Limited,Education & Training,2,Hyderabad,756,255,19,3.2
Online Legal India,Other,--,Kolkata,57,255,15,4.3
Indian Railway Catering and Tourism,Urban Transport,--,New Delhi,901,255,12,3.8
Yatharth Hospital,Healthcare,12,Noida,935,255,14,3.8
Modi Mundi Pharma,Pharma,4,New Delhi,539,255,11,3.8
Weddingz.in,Internet,--,Mumbai,908,254,17,3.0
Captain Fresh,Food Processing,4,Bengaluru,1.2k,254,13,3.9
JM Financial Home Loans,NBFC,1,Mumbai,635,254,9,4.0
Rehau Polymers,Engineering & Construction,--,Pune,1.1k,254,14,3.3
Indian Oil- Adani Gas,Oil & Gas,11,Noida,1.2k,254,22,3.8
Madras Radiators and Pressings Limited,Auto Components,--,Chennai,384,254,5,3.5
Metacube Software,IT Services & Consulting,6,Jaipur,2k,253,26,3.8
Kovai Medical Center and Hospital,Healthcare,1,Coimbatore,940,253,4,4.2
Sequential Technology International,BPO,--,Gurugram,903,253,11,4.1
Ujala Cygnus,Healthcare,--,New Delhi,546,253,16,3.7
Rossell Techsys,Defence & Aerospace,1,Bengaluru,1.3k,253,6,4.1
ATC Telecom Infrastructure,Telecom,--,Gurugram,758,253,14,4.3
Caplin Point Laboratories,Pharma,13,Chennai,1.3k,254,18,3.5
LIXIL,Building Material,473,Gurugram,1k,254,15,3.9
J. C. Penney,Retail,17,Bengaluru,1.5k,253,21,3.9
Health Total,Fitness & Wellness,15,Mumbai,568,253,16,3.4
Dynamatic Technologies,Auto Components,--,Bengaluru,1.3k,253,15,3.7
Rays Power Infra,Power,18,Jaipur,680,253,26,4.1
Mahagun India,Real Estate,18,Noida,996,253,16,3.1
Integra Micro Systems,Software Product,--,Bengaluru,1.2k,254,17,3.9
Welspun Global Brands,Fashion & Textile,--,Mumbai,845,253,10,3.8
Zee Learn,Education & Training,10,Mumbai,938,253,15,3.7
Nandan Petrochem,Petrochemicals,15,Mumbai,1k,262,24,3.7
Oriental Aromatics,Chemicals,1,Vadodara,1.4k,254,28,3.4
New Allenberry Works,Power,--,Faridabad,910,252,16,3.4
Richfeel Health & Beauty,Beauty & Personal Care,2,Mumbai,594,252,5,2.8
Tractor Junction,Internet,3,Alwar,440,252,20,4.1
British Paints,Chemicals,--,New Delhi,616,252,24,3.7
Appasamy Associates,Medical Equipment,--,Chennai,1.1k,252,12,3.6
Cargo Motors,Automobile,4,Ahmedabad,868,252,10,4.1
Oncquest Laboratories,Healthcare,--,New Delhi,886,252,14,3.3
Malabar Group Of Companies,Jewellery,2,Kozhikode,1.2k,252,7,3.7
Mogli labs,Internet,2,Noida,1.4k,252,9,3.4
Leeford Healthcare,Pharma,8,Ludhiana,581,252,14,4.1
Protean eGov Technologies,Mumbai +12 other locations,16,Mumbai,1.7k,259,16,3.5
Globus Infocom,EdTech,6,Noida,619,252,37,4.3
KGK Group,Jewellery,33,Mumbai,1.2k,252,13,3.3
indiagold,FinTech,16,Gurugram,539,252,42,4.5
Anaptyss,IT Services & Consulting,1,Noida,662,254,16,3.9
GE Aviation,Aviation,--,Pune,1.3k,252,23,4.0
Medgenome Labs,Biotechnology,1,Bengaluru,979,252,22,3.8
Singareni Collieries Company,Metals & Mining,--,Hyderabad,576,253,12,4.5
JSG Group,Auto Components,17,New Delhi,1.1k,252,14,3.7
Unison Pharmaceuticals,Pharma,2,Ahmedabad,1.3k,252,19,4.0
Dyson,Consumer Electronics & Appliances,10,Gurugram,1.1k,252,20,3.7
ZIGRAM,Software Product,12,Gurugram,1.1k,252,59,3.4
HyperCITY,Retail,--,Mumbai,388,251,4,4.7
Cordova Publication,Printing & Publishing,1,Noida,535,251,5,3.6
Galgotias University,Education & Training,3,Greater Noida,884,251,18,3.3
Kinetic Engineering,Auto Components,2,Ahilyanagar,926,251,14,3.5
Royal Infraconstru,Engineering & Construction,2,Kolkata,769,251,20,3.3
Vistra Corporate Services,Power,2,Mumbai,1.4k,251,23,3.5
Aegis Logistics,Oil & Gas,--,Mumbai,1.2k,251,32,3.6
General Energy Management Systems,Industrial Machinery,37,Noida,993,251,19,3.7
ACN Health care,BPO,13,Bengaluru,987,251,15,3.3
Hawkins Cookers,Consumer Electronics & Appliances,--,Mumbai,819,251,22,3.6
Apothecon Pharmaceuticals,Pharma,1,Vadodara,971,251,21,4.4
Teleindia Networks,Telecom,--,Bengaluru,1.2k,251,11,3.8
Catch Foods,Food Processing,--,Noida,421,251,17,4.1
Shalina Healthcare,Pharma,7,Pune,720,251,13,3.4
Quality Council of India,New Delhi +22 other locations,--,New Delhi,1.5k,251,24,3.3
Teleindia Networks,Telecom,--,Bengaluru,1.2k,251,11,3.8
JP Infra,Real Estate,5,Mumbai,1.4k,251,23,3.8
NEC Software Solutions,IT Services & Consulting,34,Mumbai,1.9k,263,24,3.9
Sundaram Home Finance,NBFC,4,Chennai,718,252,12,4.2
WizKlub,EdTech,--,Bengaluru,796,251,33,2.8
GTL Limited,Hardware & Networking,--,Pune,586,250,10,4.3
Tata Sikorsky Aerospace,Defence & Aerospace,--,Hyderabad,1.1k,250,11,3.7
Amazon Distributors,New Delhi +36 other locations,--,New Delhi,514,250,9,3.8
FoodPanda,Internet,--,Gurugram,801,250,7,3.9
Zyoin,Recruitment,7,Bengaluru,865,250,22,3.7
Grassroots BPO,BPO,1,Bengaluru,783,250,10,3.4
Vamani Overseas,Furniture & Furnishing,3,Faridabad,1.3k,250,14,3.5
Pahal Financial Services,NBFC,1,Ahmedabad,748,250,11,4.1
Sigachi Industries,Pharma,1,Bharuch,1.2k,250,24,3.7
AAFT,EdTech,15,Noida,489,250,23,4.1
Searce Cosourcing Services,IT Services & Consulting,11,Pune,2.1k,250,36,3.0
Mahindra Susten,Engineering & Construction,7,Mumbai,961,250,13,4.4
Azad Engineering,Engineering & Construction,2,Hyderabad,1.2k,250,15,3.8
Chakr Innovation,Industrial Machinery,11,Gurugram,905,257,42,3.6
Madhucon Projects,Engineering & Construction,10,Hyderabad,790,250,16,3.5
Easyday Club,Retail,--,New Delhi,449,250,11,4.6
Shivaami Cloud Services,IT Services & Consulting,6,Mumbai,519,250,76,4.2
CohnReznick,Accounting & Auditing,32,Chennai,1.7k,250,36,3.9
Sudhir Power,Power,6,Gurugram,1.1k,250,19,3.6
